,room_id,room_type,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude
286,286672,Entire home/apt,5.0,4.0,3.0,91.0,5.0,38.709792,-9.129431
287,286695,Entire home/apt,4.0,,3.0,125.0,4.0,38.712533,-9.143161
288,286706,Entire home/apt,3.0,,1.0,181.0,3.0,38.726652,-9.144441
289,287007,Entire home/apt,5.0,4.0,1.0,97.0,3.0,38.709531,-9.141958
290,287629,Entire home/apt,4.5,,4.0,131.0,3.0,38.709901,-9.147636
291,287874,Entire home/apt,4.5,,5.0,306.0,,38.71183,-9.147365
292,290912,Shared room,4.5,1.0,1.0,14.0,1.0,38.727478,-9.166483
293,290913,Shared room,4.5,2.0,1.0,14.0,1.0,38.729003,-9.166141
294,291676,Entire home/apt,4.5,,2.0,104.0,2.0,38.712715,-9.144877
295,291999,Entire home/apt,5.0,,2.0,111.0,2.0,38.710211,-9.147561
296,295749,Entire home/apt,5.0,,3.0,258.0,2.0,38.712829,-9.143713
297,297857,Entire home/apt,4.5,4.0,1.0,123.0,2.0,38.711481,-9.138588
298,299321,Entire home/apt,5.0,2.0,1.0,97.0,2.0,38.721549,-9.144945
299,299970,Entire home/apt,4.5,2.0,1.0,56.0,3.0,38.711783,-9.128483
300,300116,Entire home/apt,,3.0,3.0,138.0,1.0,38.733944,-9.120143
301,300827,Entire home/apt,4.5,5.0,2.0,99.0,,38.713738,-9.14574
302,300875,Entire home/apt,4.5,4.0,1.0,70.0,3.0,38.7131,-9.126699
303,300914,Entire home/apt,4.0,3.0,1.0,70.0,,38.713891,-9.133479
304,301755,Entire home/apt,5.0,,2.0,97.0,1.0,38.714214,-9.149496
305,303488,Entire home/apt,4.5,5.0,2.0,97.0,3.0,38.713658,-9.145739
306,304025,Entire home/apt,4.0,,3.0,118.0,2.0,38.713453,-9.144709
307,304028,Entire home/apt,4.0,,4.0,138.0,2.0,38.712369,-9.144924
308,304902,Entire home/apt,4.5,4.0,1.0,70.0,1.0,38.709143,-9.149495
309,305056,Entire home/apt,5.0,4.0,1.0,81.0,3.0,38.712152,-9.133667
310,305088,Entire home/apt,,2.0,1.0,75.0,3.0,38.707628,-9.153951
311,305286,Private room,4.5,2.0,1.0,42.0,2.0,38.728881,-9.136134
312,306191,Entire home/apt,4.5,4.0,1.0,70.0,2.0,38.713655,-9.144064
313,307666,Entire home/apt,5.0,4.0,1.0,99.0,2.0,38.779498,-9.096687
314,307683,Entire home/apt,5.0,,1.0,84.0,3.0,38.712037,-9.126826
315,308287,Entire home/apt,5.0,5.0,2.0,111.0,,38.711421,-9.147101
316,311601,Entire home/apt,4.0,3.0,1.0,56.0,1.0,38.715038,-9.153978
317,313854,Entire home/apt,4.5,4.0,1.0,63.0,,38.716898,-9.147657
318,317916,Private room,4.5,2.0,1.0,26.0,1.0,38.706914,-9.157128
319,319825,Entire home/apt,5.0,4.0,1.0,54.0,,38.718138,-9.120857
320,320603,Entire home/apt,5.0,5.0,2.0,188.0,3.0,38.712025,-9.142641
321,321274,Entire home/apt,4.5,4.0,1.0,63.0,1.0,38.711085,-9.145699
322,321353,Entire home/apt,4.5,4.0,1.0,93.0,2.0,38.714676,-9.127789
323,321426,Entire home/apt,,4.0,2.0,139.0,3.0,38.730531,-9.132833
324,322284,Entire home/apt,4.5,,2.0,118.0,5.0,38.709629,-9.136686
325,326061,Entire home/apt,4.5,3.0,1.0,84.0,2.0,38.714012,-9.133583
326,327792,Private room,4.5,2.0,1.0,24.0,7.0,38.734791,-9.144122
327,327945,Entire home/apt,5.0,3.0,0.0,63.0,2.0,38.710339,-9.135763
