room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1204447,4643082,Entire home/apt,,Santa Maria Maior,38,4.5,4.0,1.0,58.0,2.0,38.71226,-9.129974,2015-03-19 11:23:00.253
1204875,5297837,Entire home/apt,,Santa Maria Maior,28,5.0,,2.0,132.0,3.0,38.708723,-9.135946,2015-03-19 09:31:09.059
1208324,4165190,Entire home/apt,,Santa Maria Maior,15,5.0,2.0,1.0,84.0,2.0,38.713099,-9.135149,2015-03-19 06:44:20.351
1208909,3634413,Entire home/apt,,Santa Maria Maior,44,4.5,5.0,2.0,106.0,2.0,38.708432,-9.133477,2015-03-19 08:11:18.416
1208910,3634413,Entire home/apt,,Arroios,0,,4.0,2.0,107.0,1.0,38.722759,-9.136191,2015-03-19 08:12:32.626
1209286,6604033,Entire home/apt,,Santa Maria Maior,38,4.5,3.0,1.0,77.0,2.0,38.712341,-9.130139,2015-03-19 10:48:47.855
1209322,3551389,Entire home/apt,,Misericórdia,3,4.0,5.0,2.0,104.0,2.0,38.710888,-9.150841,2015-03-19 11:37:54.953
1211078,3551389,Entire home/apt,,Misericórdia,6,4.0,5.0,2.0,104.0,2.0,38.708891,-9.150814,2015-03-19 10:48:51.342
1211272,3250665,Entire home/apt,,Misericórdia,6,5.0,,4.0,124.0,2.0,38.71123,-9.146767,2015-03-19 09:27:06.045
1211630,3953109,Entire home/apt,,Santo António,12,4.0,2.0,1.0,74.0,3.0,38.717628,-9.154481,2015-03-19 11:42:46.676
1211749,815805,Entire home/apt,,Santa Maria Maior,31,4.5,4.0,2.0,132.0,3.0,38.708784,-9.133749,2015-03-19 08:40:47.280
1213321,6569058,Entire home/apt,,Santo António,7,4.5,,1.0,91.0,2.0,38.719598,-9.144125,2015-03-19 09:28:31.512
1213489,6569058,Entire home/apt,,Arroios,7,4.5,,2.0,139.0,2.0,38.72281,-9.139928,2015-03-19 07:37:16.224
1214801,6569058,Entire home/apt,,Santo António,10,4.5,4.0,1.0,97.0,2.0,38.722232,-9.14095,2015-03-19 08:16:03.453
1214837,6340750,Private room,,Penha de França,39,4.0,4.0,1.0,28.0,2.0,38.72349,-9.131223,2015-03-19 09:03:04.129
1215943,823780,Entire home/apt,,Santa Maria Maior,24,5.0,5.0,3.0,84.0,4.0,38.711887,-9.130819,2015-03-19 10:50:26.865
1216499,6638070,Entire home/apt,,São Vicente,12,4.5,4.0,1.0,68.0,3.0,38.719456,-9.126508,2015-03-19 11:50:10.896
1216731,6569058,Entire home/apt,,Santo António,7,4.0,4.0,1.0,70.0,1.0,38.721347,-9.143818,2015-03-19 11:17:19.434
1216792,6569058,Entire home/apt,,Santo António,1,5.0,,2.0,89.0,1.0,38.722019,-9.143686,2015-03-19 07:09:16.014
1216812,6569058,Entire home/apt,,Santo António,4,4.5,,4.0,167.0,2.0,38.723315,-9.142589,2015-03-19 07:32:02.878
1218713,5439541,Entire home/apt,,Arroios,1,5.0,4.0,2.0,139.0,4.0,38.722621,-9.136199,2015-03-19 09:50:40.348
1221781,1794425,Entire home/apt,,Misericórdia,40,5.0,4.0,2.0,84.0,3.0,38.715877,-9.152123,2015-03-19 09:45:23.110
1221995,5799522,Private room,,Santo António,0,,4.0,1.0,111.0,1.0,38.723141,-9.144471,2015-03-19 08:49:18.727
1223036,6653216,Private room,,Santo António,44,4.0,2.0,1.0,39.0,2.0,38.723362,-9.142435,2015-03-19 09:11:07.922
1225349,1969564,Entire home/apt,,Santa Maria Maior,4,4.5,,3.0,138.0,2.0,38.713484,-9.124325,2015-03-19 09:23:31.110
1226195,6688628,Entire home/apt,,Misericórdia,13,4.5,4.0,2.0,77.0,3.0,38.712207,-9.14472,2015-03-19 11:06:17.673
1226291,1549585,Entire home/apt,,Misericórdia,9,4.0,2.0,1.0,70.0,3.0,38.709517,-9.147325,2015-03-19 07:40:04.941
1227591,538862,Private room,,Avenidas Novas,1,5.0,2.0,1.0,42.0,3.0,38.736255,-9.148631,2015-03-19 08:04:04.901
1229115,6704599,Entire home/apt,,Santa Maria Maior,48,4.5,2.0,1.0,42.0,2.0,38.714762,-9.136843,2015-03-19 07:49:19.472
1230187,915146,Entire home/apt,,São Domingos de Benfica,3,5.0,3.0,1.0,70.0,21.0,38.753743,-9.174478,2015-03-19 08:49:29.827
1231132,6714508,Entire home/apt,,São Vicente,12,5.0,4.0,2.0,70.0,5.0,38.720447,-9.12954,2015-03-19 07:14:35.733
1231298,6569058,Entire home/apt,,Santo António,26,4.0,2.0,1.0,56.0,2.0,38.719572,-9.14092,2015-03-19 10:43:50.807
1232619,6523947,Entire home/apt,,Alvalade,3,5.0,2.0,,68.0,4.0,38.748383,-9.151554,2015-03-19 11:39:30.128
1232734,6722816,Entire home/apt,,Santa Maria Maior,53,5.0,5.0,2.0,54.0,3.0,38.710678,-9.129659,2015-03-19 08:32:47.075
