host_id,room_type,neighbourhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,date
5998744,Entire home/apt,Alcântara,66,4.5,2,1,40,4,38.70824,-9.175262,20/3/16
6301395,Private room,Avenidas Novas,32,4.5,2,1,35,2,38.73933,-9.150912,20/3/16
11628119,Entire home/apt,Avenidas Novas,27,5,2,1,81,4,38.733481,-9.151615,20/3/16
8199985,Entire home/apt,Santa Maria Maior,1,5,2,0,75,1,38.712117,-9.133033,20/3/16
17733765,Entire home/apt,Santo António,15,5,4,1,75,2,38.715684,-9.151859,20/3/16
3953109,Entire home/apt,Avenidas Novas,0,3.821327873,4,2,102,3,38.745469,-9.153037,20/3/16
37506894,Entire home/apt,Belém,18,5,4,1,58,2,38.698565,-9.196207,20/3/16
1270923,Entire home/apt,Santa Maria Maior,16,4.5,4,1,38,2,38.714282,-9.135518,20/3/16
5847348,Entire home/apt,Santo António,5,5,4,2,110,3,38.722477,-9.156298,20/3/16
3431556,Private room,São Vicente,59,4.5,2,1,46,2,38.714325,-9.130086,20/3/16
3953816,Entire home/apt,Santo António,16,5,3,1,63,4,38.720509,-9.154707,20/3/16
57874758,Entire home/apt,Campo de Ourique,0,3.821327873,3,1,57,2,38.718861,-9.161998,20/3/16
13265858,Entire home/apt,Santa Maria Maior,3,3.5,4,1,28,2,38.711193,-9.128862,20/3/16
16106300,Entire home/apt,Misericórdia,15,4.5,3,1,46,2,38.713792,-9.143839,20/3/16
15111644,Private room,Lumiar,11,4,2,1,42,2,38.75962,-9.167876,20/3/16
15869678,Private room,Santo António,0,3.821327873,3,1,348,1,38.726365,-9.1441,20/3/16
14789396,Entire home/apt,Misericórdia,0,3.821327873,4,1,43,2,38.711209,-9.147854,20/3/16
628095,Private room,Penha de França,53,4.5,3,1,19,1,38.7284,-9.131613,20/3/16
3664224,Entire home/apt,Santa Maria Maior,2,5,3,1,93,3,38.714361,-9.14074,20/3/16
6855202,Shared room,Santo António,0,3.821327873,1,1,21,1,38.725079,-9.148459,20/3/16
42212160,Entire home/apt,Estrela,0,3.821327873,4,2,121,2,38.706003,-9.169438,20/3/16
872205,Private room,Misericórdia,35,4.5,2,1,24,2,38.712089,-9.151588,20/3/16
3539350,Entire home/apt,Misericórdia,47,4.5,4,1,62,2,38.714766,-9.145709,20/3/16
15262500,Entire home/apt,Parque das Nações,18,4.5,4,1,47,1,38.770896,-9.103198,20/3/16
15375610,Private room,Misericórdia,36,4.5,2,1,28,3,38.70888,-9.152772,20/3/16
8810620,Entire home/apt,Estrela,11,5,4,1,35,3,38.709068,-9.172405,20/3/16
20429471,Private room,Arroios,8,5,2,1,30,2,38.723222,-9.137186,20/3/16
14333276,Entire home/apt,Arroios,16,4.5,5,2,75,2,38.727997,-9.13293,20/3/16
31265397,Entire home/apt,Estrela,14,4,4,1,58,2,38.705352,-9.163752,20/3/16
24706653,Entire home/apt,Misericórdia,1,4,2,1,54,2,38.715874,-9.153433,20/3/16
1894092,Entire home/apt,Estrela,57,4.5,2,1,53,3,38.711994,-9.159438,20/3/16
36624909,Entire home/apt,Parque das Nações,0,3.821327873,5,2,139,2,38.759095,-9.094427,20/3/16
38849875,Entire home/apt,São Vicente,5,4,4,1,53,3,38.715414,-9.126028,20/3/16
31229565,Private room,São Vicente,10,4,3,1,46,3,38.719637,-9.131062,20/3/16
14189055,Entire home/apt,Estrela,1,4,2,1,87,3,38.712535,-9.160146,20/3/16
22485133,Entire home/apt,Arroios,1,5,4,1,75,2,38.729489,-9.135524,20/3/16
17125036,Entire home/apt,Santa Maria Maior,54,4.5,4,1,70,2,38.71632,-9.140744,20/3/16
824067,Entire home/apt,Misericórdia,70,4.5,2,1,52,3,38.713997,-9.145544,20/3/16
663233,Entire home/apt,Misericórdia,87,4.5,4,2,70,3,38.711036,-9.145506,20/3/16
7347034,Private room,Misericórdia,0,3.821327873,2,1,49,1,38.711101,-9.14631,20/3/16
10174383,Entire home/apt,Santo António,39,4.5,2,0,59,2,38.718278,-9.14636,20/3/16
24485176,Entire home/apt,Arroios,29,4.5,5,2,44,3,38.732878,-9.139406,20/3/16
691692,Private room,Arroios,5,4.5,2,1,35,2,38.727544,-9.134346,20/3/16
20584893,Private room,Alcântara,0,3.821327873,2,1,35,2,38.705174,-9.188001,20/3/16
1655181,Entire home/apt,Santo António,55,5,4,2,128,3,38.715845,-9.145267,20/3/16
10964366,Private room,Santa Maria Maior,41,4.5,2,1,40,2,38.712125,-9.130184,20/3/16
2174752,Entire home/apt,Santa Maria Maior,7,4.5,3,1,81,1,38.709569,-9.138298,20/3/16
36624909,Entire home/apt,Parque das Nações,0,3.821327873,2,1,99,3,38.756899,-9.094879,20/3/16
3445956,Entire home/apt,Santa Maria Maior,7,4.5,3,1,81,4,38.712659,-9.127881,20/3/16
1695029,Entire home/apt,Santa Maria Maior,99,5,3,1,55,3,38.713899,-9.13641,20/3/16
2970359,Entire home/apt,São Domingos de Benfica,12,4.5,5,2,110,3,38.748749,-9.172902,20/3/16
24485176,Entire home/apt,Arroios,16,4,2,0,34,3,38.726153,-9.141354,20/3/16
11707167,Entire home/apt,Santo António,4,5,2,1,64,2,38.717572,-9.147105,20/3/16
136230,Entire home/apt,Misericórdia,76,4.5,4,1,70,2,38.709143,-9.149495,20/3/16
7911738,Private room,Estrela,40,4.5,2,1,29,1,38.707369,-9.154947,20/3/16
23496375,Entire home/apt,Santa Maria Maior,32,4.5,5,2,71,2,38.711373,-9.126056,20/3/16
6252294,Private room,Arroios,20,4.5,1,1,24,2,38.726061,-9.133582,20/3/16
1396434,Entire home/apt,Estrela,2,5,3,1,88,5,38.704592,-9.163262,20/3/16
49739230,Entire home/apt,Belém,0,3.821327873,4,1,53,2,38.699548,-9.198406,20/3/16
15871049,Entire home/apt,Misericórdia,0,3.821327873,2,0,93,3,38.712791,-9.145303,20/3/16
6787401,Entire home/apt,Penha de França,15,3,2,0,36,2,38.732111,-9.131778,20/3/16
47787087,Private room,Misericórdia,1,3.821327873,2,1,28,1,38.714048,-9.143264,20/3/16
3953109,Entire home/apt,Santo António,1,5,2,0,64,3,38.726357,-9.145882,20/3/16
7372539,Private room,Arroios,15,4.5,2,1,27,2,38.72775,-9.132057,20/3/16
2016783,Entire home/apt,Belém,13,5,4,2,80,2,38.697215,-9.195987,20/3/16
4843790,Private room,Penha de França,0,3.821327873,1,1,40,2,38.731216,-9.127905,20/3/16
16824188,Entire home/apt,Santa Maria Maior,40,4.5,4,1,55,2,38.713657,-9.136589,20/3/16
378525,Private room,Alvalade,1,4.5,1,1,29,2,38.751237,-9.13856,20/3/16
872205,Private room,Misericórdia,18,4.5,2,1,29,2,38.712119,-9.151256,20/3/16
3332215,Private room,Santa Maria Maior,3,4,2,1,92,1,38.712689,-9.138857,20/3/16
15439125,Entire home/apt,São Vicente,59,4.5,4,2,70,2,38.722315,-9.131076,20/3/16
27409658,Private room,Areeiro,47,4.5,3,1,29,2,38.741482,-9.133633,20/3/16
39140936,Private room,Campo de Ourique,0,3.821327873,2,1,40,2,38.717223,-9.163928,20/3/16
41652475,Entire home/apt,Arroios,10,4,4,1,48,3,38.729565,-9.14118,20/3/16
184400,Entire home/apt,Santo António,2,4,4,1,88,4,38.720102,-9.143911,20/3/16
9342438,Entire home/apt,Areeiro,32,4.5,3,1,49,2,38.743283,-9.139321,20/3/16
391315,Entire home/apt,Parque das Nações,0,3.821327873,4,1,99,3,38.767313,-9.096603,20/3/16
520897,Entire home/apt,São Vicente,3,4,4,1,64,2,38.716286,-9.121258,20/3/16
6569058,Entire home/apt,Santo António,23,4.5,4,1,59,1,38.721347,-9.143818,20/3/16
13538848,Entire home/apt,São Vicente,39,4.5,2,0,40,2,38.713181,-9.126614,20/3/16
